Sentence,start_time,end_time,wav_file,emotion,val,act,dom
The only one I know still love his parents.,76.82,80.32,Ses01M_script01_3_F007,xxx,3.5,2,2.5
"Yeah, that kind of went out of style didn't it?",80.64,85.28,Ses01M_script01_3_F008,neu,3.5,2,2.5
Oh it's not bad thing it's good thing.,104.15,109.63,Ses01M_script01_3_F009,xxx,4,2.5,2
"You know it's nice here, the air is sweet.",148.7,150.8,Ses01M_script01_3_F010,xxx,4,3,2
You're not sorry you came?,150.83,154.14,Ses01M_script01_3_F011,xxx,4,3,2.5
"Not sorry, no.  I can't stay here.",161.93,165.3,Ses01M_script01_3_F012,neu,3.5,2,2
Why not?,167.8525,170.49,Ses01M_script01_3_F013,xxx,4.5,1.5,2
For one thing your mother as much as told me to go.,173.63,175.63,Ses01M_script01_3_F014,exc,4.5,2,2.5
Well.,177.13,185.63,Ses01M_script01_3_F015,exc,4.5,3.5,3.5
[BREATHING] And then you've been kind of...,200.94,207.645,Ses01M_script01_3_F016,hap,4.5,3,2.5
What?,215.88,221.43,Ses01M_script01_3_F017,xxx,4,2,2
You've been kind of embarrassed ever since I got here.,225.02,227.3023,Ses01M_script01_3_F018,sad,2.5,1.5,1.5
"I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.",231.36,235.205,Ses01M_script01_3_F019,sad,3,3,2
"I knew they would, your mother anyway.",236.99,243.44,Ses01M_script01_3_F020,xxx,2.5,2.5,2
You did?,253.41,256.4398,Ses01M_script01_3_F021,sad,2.5,1.5,2.5
From her point of view why else would I come?,265.5717,269.08,Ses01M_script01_3_F022,sad,2.5,1.5,2.5
Yeah--,277.23,279.39,Ses01M_script01_3_F023,sad,2.5,2,1.5
"So then would you want to?  I mean I guess, you kind of have to know, maybe that's why I asked you to come.",285.51,288.34,Ses01M_script01_3_F024,sad,2.5,1.5,2
Well I guess that's why I came.,290.5787,293.79,Ses01M_script01_3_F025,sad,2,1.5,2
"Ann, I love you.  I love you.",455.26,458.74,Ses01M_script01_3_F026,sad,2.5,2,2
I love you a great deal.,464.0599,472.87,Ses01M_script01_3_F027,xxx,2.5,3,3.5
I'm sorry I don't really have much of an imagination.,473.5225,480.15,Ses01M_script01_3_F028,xxx,2.5,3,3
"Chris,",481.65,495.67,Ses01M_script01_3_F029,xxx,2.5,3,3
"I'm sorry I'm embarrassing you, aren't I?  See, I didn't want to do it here I didn't on this porch, with this ring--I didn't want to win you away from anything.",510.69,513.8625,Ses01M_script01_3_F030,hap,4,2,2
"I've been ready a long, long time.",11.86,15.1286,Ses01M_script01_3_M000,hap,4,2,1.5
So then he's gone.  You sure?,28.1,30.585,Ses01M_script01_3_M001,hap,3.5,3,1.5
I almost got married two years ago.,38.46,41.3299,Ses01M_script01_3_M002,sad,2.5,3,1.5
Why didn't you?,44.17,46.065,Ses01M_script01_3_M003,xxx,4,2,2
You started to write me.,51.059,53.27,Ses01M_script01_3_M004,neu,3.5,2,1.5
You felt something that far back?,63.71,77.5575,Ses01M_script01_3_M005,xxx,4,2.5,1.5
Everyday since.,79.41,81.1172,Ses01M_script01_3_M006,neu,4,3,2
why didn't you let me know?,85.7,88.358,Ses01M_script01_3_M007,neu,3.5,2,1.5
"Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.",88.72,102.15,Ses01M_script01_3_M008,xxx,3,3,1.5
"Oh Annie, why don't you go ahead and give me a kiss, come on just a...",111.9467,120.1828,Ses01M_script01_3_M009,hap,3.5,3.5,2.5
I kissed you.  I kissed Annie.,122.3,126.075,Ses01M_script01_3_M010,xxx,4.5,3,2.5
I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.,126.59,130.94,Ses01M_script01_3_M011,xxx,3.5,2.5,2
I kissed you.,132.78,147.95,Ses01M_script01_3_M012,xxx,3.5,3.5,1.5
"Like Larry's brother.  Do what like you, Chris.",156.22,161.5,Ses01M_script01_3_M013,xxx,3,3,2
"Chris, what's the matter?",165.6682,167.93,Ses01M_script01_3_M014,neu,3,2.5,2
Do you want to go somewhere?  Let's go.,171.1174,174.59,Ses01M_script01_3_M015,xxx,4.5,3.5,2
"No, what is it?  Is your mother?",175.33,178.07,Ses01M_script01_3_M016,exc,4.5,3.5,2
"No, no, it's nothing like that.",184.65,194.6563,Ses01M_script01_3_M017,xxx,4.5,3,2.5
"Well, then what?  You know, even in your letter you seem kind of ashamed.",197,201.86,Ses01M_script01_3_M018,exc,5,3.5,2.5
I don't know it's--it's complicated. But it's going from me now.,207.18,210.04,Ses01M_script01_3_M019,hap,4.5,2,2.5
You got to...,228.28,232.23,Ses01M_script01_3_M020,sad,3,3.5,2
You got to tell me.,234.59,238.48,Ses01M_script01_3_M021,sad,2,2.5,2
I don't know.,244.14,252.92,Ses01M_script01_3_M022,sad,2,2,2
But what if...,256.1412,259.1271,Ses01M_script01_3_M023,sad,2,2.5,2.5
It's kind of all mixed up with all these other things.,259.351,263.97,Ses01M_script01_3_M024,sad,2,3,2
Wouldn't work like this.,272.34,277.8637,Ses01M_script01_3_M025,sad,2,1.5,2
you know over seas I was in command of the company?,281.14,283.91,Ses01M_script01_3_M026,sad,2,1.5,1
"Yeah, sure.",288.18,291.03,Ses01M_script01_3_M027,sad,2,1.5,1.5
Well I lost them.,293.6392,307.49,Ses01M_script01_3_M028,sad,1.5,2,1.5
How many?,307.7375,320.03,Ses01M_script01_3_M029,sad,1.5,2.5,1.5
Pretty much all.,320.1175,326.5,Ses01M_script01_3_M030,sad,1.5,2,2
[BREATHING]. Geez.,327.37,337.86,Ses01M_script01_3_M031,sad,2,2.5,2.5
"Takes awhile to toss something like that off.  I mean they weren't just men, you know.",339.871,363.73,Ses01M_script01_3_M032,sad,1.5,2,1
"For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.",363.865,373.32,Ses01M_script01_3_M033,sad,1.5,2,2.5
He just put it in my pocket that's the kind of guys I had.,374.5675,388.8175,Ses01M_script01_3_M034,sad,1.5,2.5,2
"They didn't die they killed themselves for each other and I mean that exactly, you know a little more selfish and they'll all be here today...",389.0888,397.095,Ses01M_script01_3_M035,sad,1.5,2.5,1
"And I had this idea as I was watching them go down like everything was being destroyed, you know.  But I felt like this one new thing was being made, you know it's kind of like this.  This monument...",397.3498,405.69,Ses01M_script01_3_M036,sad,1.5,3,1.5
"You know, that they were bringing something on to this earth, a kind of sacrifice you know.",406.2,414.26,Ses01M_script01_3_M037,sad,1.5,3.5,2.5
"I thought I would change everything you know, and I got back here and it was- it was like nothing had changed at all...",417.29,430.76,Ses01M_script01_3_M038,sad,1.5,2.5,1.5
You know.  I went to work with dad and I started that whole rat race again...,431.0408,439.07,Ses01M_script01_3_M039,sad,1.5,3.5,2.5
And no one had changed it was just like sort of random bus accident to them.,439.48,449.91,Ses01M_script01_3_M040,sad,1.5,2.5,2.5
Driving my new car and I felt guilty you know opening my bank book seeing a new refrigerator.,460.4,463.85,Ses01M_script01_3_M041,sad,2,1.5,2
'Cause you can take those things out of a war.  But you have to realize that those things came out of the love that a man can have for another man...,499.46,502.27,Ses01M_script01_3_M042,xxx,3.5,2,2
And if you can't see that then it's just loot and there's blood all over it.,507.77,511.4612,Ses01M_script01_3_M043,hap,4,2.5,2.5
I felt ashamed and I didn't want any part of it.  I guess I included you too.,8.0737,11.47,Ses01M_impro02_F000,neu,3,2.5,2.5
Do you still feel that way?,24.15,26.98,Ses01M_impro02_F001,xxx,2,3.5,3.5
I want you to know Annie.,29.35,32.46,Ses01M_impro02_F002,sur,2,4,4
"'Cause you mustn't feel that way.  Everything you have, you have a right to...",35.4,38.6,Ses01M_impro02_F003,fru,2,3,3.5
Everything Chris do you understand that?  To me too...,40.1,42.3725,Ses01M_impro02_F004,fru,2.5,3.5,3
And your money there's nothing wrong in your money.  Your father put hundreds of planes into the air.  You should be proud of that a man should be paid for that.,42.495,45.82,Ses01M_impro02_F005,fru,1.5,3,4.5
Annie...,53.495,54.995,Ses01M_impro02_F006,fru,2.5,2.5,2.5
I'm going to make a fortune for you.,58.98,62.11,Ses01M_impro02_F007,fru,2,3.5,4
What would I do with a fortune?,78.48,79.745,Ses01M_impro02_F008,fru,2,3,2.5
"Hey, Joy come in here.",85.84,89.14,Ses01M_impro02_F009,sad,2.5,2.5,2.5
What's happening?,90.39,93.65,Ses01M_impro02_F010,sad,2.5,2.5,3
I have to go back.,116.89,122.52,Ses01M_impro02_F011,xxx,2,3.5,2.5
I just got a letter I have to go back.,128.83,131.1175,Ses01M_impro02_F012,xxx,2.5,2,2.5
When?,144.54,148.6,Ses01M_impro02_F013,sad,3,3.5,3.5
First thing tomorrow morning.,152.31,154.9183,Ses01M_impro02_F014,xxx,4,3,3
Are you kidding me?,157.42,160.11,Ses01M_impro02_F015,sad,2.5,2,2.5
How...,167.91,170.77,Ses01M_impro02_F016,xxx,4,3,3
"I don't understand, I don't underst--",172.41,177.35,Ses01M_impro02_F017,sad,4,3.5,3
How can they do that?,185.54,190.36,Ses01M_impro02_F018,xxx,4.5,3.5,3
They can do it.,201.7575,204.05,Ses01M_impro02_F019,sad,3,3,3
They said you're home for at least four years.,209.95,214.81,Ses01M_impro02_F020,xxx,3.5,2.5,3
"I guess they can do it,",216.925,219.13,Ses01M_impro02_F021,xxx,4,2,3.5
"The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.",4.5582,7.86,Ses01M_impro02_M000,neu,3,2.5,2.5
[BREATHING],13.76,17.52,Ses01M_impro02_M001,sad,2,2,3.5
That's not fair.,19.33,23.63,Ses01M_impro02_M002,sad,2.5,2.5,2.5
I can't believe it. I just got back.,27.11,29.825,Ses01M_impro02_M003,sad,2,2.5,3
"So yeah, we leave tomorrow...",38.61,41.33,Ses01M_impro02_M004,xxx,1.5,2.5,3
[BREATHING],42.4225,44.35,Ses01M_impro02_M005,xxx,2.5,2,2
...we're all shipping out.,47.19,49.63,Ses01M_impro02_M006,fru,1.5,2,2
I just got I feel like I'm in shock actually.,49.66,58.18,Ses01M_impro02_M007,sad,2,3,3
I don't even know what to tell you.,66.16,70.18,Ses01M_impro02_M008,xxx,1.5,3.5,3.5
I don't know.,75.73,78.6525,Ses01M_impro02_M009,sad,2,2.5,3.5
What about the birthday party?,79.18,81.86,Ses01M_impro02_M010,sad,2,2,2.5
I guess you're just going to have to have it without me.,82.09,86.28,Ses01M_impro02_M011,sad,2.5,2.5,3.5
"Hey listen, it's going to be okay though, all right?",88.825,90.655,Ses01M_impro02_M012,sad,3,1.5,1.5
You're going to be fine.,95.45,99.875,Ses01M_impro02_M013,sad,1.5,3,3.5
Me?  I'm not worried about me.,106.1,114.44,Ses01M_impro02_M014,sad,2,2,3.5
"I'm going to be fine too, okay?",115.0275,117.31,Ses01M_impro02_M015,sad,2,2,2.5
How do you know?,122.03,126.42,Ses01M_impro02_M016,sad,2.5,3,3.5
I know I have a good... I have a really good group of guys with me.,131.06,137.74,Ses01M_impro02_M017,sad,3,2,3
We're going to be okay.,137.75,140.94,Ses01M_impro02_M018,sad,3,2,3.5
You're going with the same ones?,149.06,152.58,Ses01M_impro02_M019,sad,3,2,3
Do promise me you're going to take a lot of pictures.,154.43,156.51,Ses01M_impro02_M020,sad,3.5,1.5,3
"Always, I always do.",163.8,167.56,Ses01M_impro02_M021,sad,2.5,2.5,2.5
I know.,170.94,173.01,Ses01M_impro02_M022,sad,3.5,3,2.5
It's not the same though.,183.77,189.08,Ses01M_impro02_M023,sad,1.5,2.5,3.5
I just wish there was something I could do.,198.55,201.28,Ses01M_impro02_M024,xxx,1.5,2.5,1.5
We could hide away.,214.59,217.04,Ses01M_impro02_M025,sad,3,2.5,3.5
Run away?,7.3698,9.425,Ses01M_script03_1_F000,xxx,2.5,4,1
Mm hmm.  We'll build a bunker and never come out.,11.135,15.2126,Ses01M_script03_1_F001,fea,2.5,3,2
"I really don't want to go, I don't want to go...",16.38,19.74,Ses01M_script03_1_F002,fea,2.5,3.5,1
[LAUGHTER] Mmm.,23.77,26.608,Ses01M_script03_1_F003,hap,4,2.5,3
I'm scared.,28.17,30.79,Ses01M_script03_1_F004,hap,4.5,3,3
Don't say that.,44.28,49.63,Ses01M_script03_1_F005,xxx,4.5,4.5,3
I'll send you a letter every single day.,49.78,51.3325,Ses01M_script03_1_F006,xxx,4.5,3.5,3
I love you.,52.01,53.2,Ses01M_script03_1_F007,exc,4,2.5,2
I love you too.,54.42,56.95,Ses01M_script03_1_F008,hap,4,2.5,3
Good God.,57.1675,61.05,Ses01M_script03_1_F009,hap,4,2.5,2.5
Do you think it's them?,61.14,62.5,Ses01M_script03_1_F010,hap,4.5,2,2
I wonder.,63.47,64.7675,Ses01M_script03_1_F011,hap,4,2,2
Freda is the only one who knows we are here. She wouldn't ring up.,69.39,72.7,Ses01M_script03_1_F012,xxx,3.5,3,2.5
Must be them then.,74.09,77.5175,Ses01M_script03_1_F013,xxx,3.5,3,3
What we're going to do?,80.03,82.8964,Ses01M_script03_1_F014,hap,4,2.5,2.5
"We're okay, right darling?  Whatever happens, we're okay?",86.99,90.76,Ses01M_script03_1_F015,hap,4.5,4,2.5
Now and always sweet.,92.91,94.91,Ses01M_script03_1_F016,xxx,3.5,3,3
I don't care then.,104.83,108.76,Ses01M_script03_1_F017,hap,4,3,2.5
It had to happen sooner or later.,111.5526,117.7531,Ses01M_script03_1_F018,hap,4,3,2.5
Yes... Hello?  Hello?  I'm sorry what's that?,119.15,122.5384,Ses01M_script03_1_F019,hap,4.5,2.5,2
"No, it's a wrong number.",126.9325,130.2975,Ses01M_script03_1_F020,xxx,4,3,2
"Oh, oh, that sent shivers on my spine.",133.95,137.04,Ses01M_script03_1_F021,hap,3,3.5,3
[BREATHING] [LAUGHTER],137.04,139.53,Ses01M_script03_1_F022,xxx,2.5,2.5,2
Oh...,142.61,145.6086,Ses01M_script03_1_F023,xxx,2,3.5,3.5
[BREATHING],152.6656,155.35,Ses01M_script03_1_F024,hap,4,3.5,3
[BREATHING],157.56,158.925,Ses01M_script03_1_F025,xxx,3,3,2
What shall we do if they suddenly walk in on us?,172.1422,175.0655,Ses01M_script03_1_F026,xxx,4,3,0.5
Oh. Behave exquisitely...,180.62,185.41,Ses01M_script03_1_F027,xxx,4.5,3.5,3
With perfect poise...,205.55,208.15,Ses01M_script03_1_F028,xxx,4,3.5,2.5
[LAUGHTER] I think I shall do a court curtsey.,208.17,215,Ses01M_script03_1_F029,xxx,4,3,3
Ah...,222.9,226.05,Ses01M_script03_1_F030,hap,4,2.5,2
[LAUGHTER],229.53,235.78,Ses01M_script03_1_F031,exc,5,4.5,3
Ah...Strange...,236.02,242.5,Ses01M_script03_1_F032,xxx,4,4,3
Mmm...,245.26,248.5425,Ses01M_script03_1_F033,xxx,3.5,2,2
"Things that just ought to matter dreadfully, you know they just don't matter at all when one is happy, do they?",251.41,254.5525,Ses01M_script03_1_F034,hap,4,3,2.5
The pity is that one can't stay happy.,256.08,260.4,Ses01M_script03_1_F035,xxx,4,3,2.5
"Darling, don't say that.",263.07,267.82,Ses01M_script03_1_F036,hap,4.5,4,3
It's true.  I think the whole things a very poor joke.,267.84,272.53,Ses01M_script03_1_F037,hap,5,4.5,3
"What, this sacred and beautiful thing, love?",276.24,279.01,Ses01M_script03_1_F038,hap,4,3.5,2.5
"Oh, yes meaning just that.",280.94,283.8275,Ses01M_script03_1_F039,hap,4,4,2
"Oh, dear god what is that all mean, dear god?",285.09,287.84,Ses01M_script03_1_F040,hap,4,2,2.5
[LAUGHTER] Don't laugh at me I'm being serious.,295.4999,300.3411,Ses01M_script03_1_F041,exc,3.5,3,2
"You mustn't be so serious, darling, it just what they want.",5.82,7.6225,Ses01M_script03_1_M000,fea,3,2.5,1.5
Oh whose they?,9.21,11.55,Ses01M_script03_1_M001,fea,3,2,1
"Oh you know all those superficial philosophers. We must laugh at them, be flippant.",14.7657,16.8575,Ses01M_script03_1_M002,xxx,2.5,3,2
Flippancy brings out the acid in their darn sweetness and light.,20.2958,24.1903,Ses01M_script03_1_M003,fea,4,3.5,1.5
"Mmhmm If I must laugh at everything, I must laugh at us too.",26.23,28.68,Ses01M_script03_1_M004,hap,4,3.5,2.5
Oh yes.  .,30.14,40.5172,Ses01M_script03_1_M005,xxx,3.5,3.5,1
"How long will it last, this ludicrous, overbearing love of ours?",40.6661,42.96,Ses01M_script03_1_M006,xxx,4.5,3,2.5
We are figures of fun all right,48.8478,50.445,Ses01M_script03_1_M007,xxx,4,3.5,2
Mmhmm...,51.1167,52.3,Ses01M_script03_1_M008,xxx,4.5,3,2
Ahh...who knows.,52.43,55.41,Ses01M_script03_1_M009,xxx,4,3,3
Shall we always want to bicker and fight?,56.36,58.92,Ses01M_script03_1_M010,hap,4,3,2.5
"No, that will fade...Along with our passion...",60.07,61.4025,Ses01M_script03_1_M011,hap,4.5,2.5,2
"Oh, will we like that?",61.94,63.7624,Ses01M_script03_1_M012,hap,4,3,2.5
Well it depends on how well we've played.,64.32,69.97,Ses01M_script03_1_M013,hap,4,3,3
If one of us dies...,72.27,74.58,Ses01M_script03_1_M014,sad,2.5,2,2
Hmm...,77.02,80.82,Ses01M_script03_1_M015,xxx,4,2.5,2.5
does the one that's left still laugh?,82.3473,88.4,Ses01M_script03_1_M016,hap,4.5,3.5,2.5
"Yes, yes with the all his might.",90.09,93.77,Ses01M_script03_1_M017,hap,4,2.5,2.5
"Well, that's serious enough isn't it?",94.35,99.885,Ses01M_script03_1_M018,xxx,3.5,2,3.5
"No, no, no, no death is very laughable it's a cunning little mystery, you know.  It's all done with mirrors.",99.915,106.2707,Ses01M_script03_1_M019,hap,4,3,3.5
I think you're talking nonsense.,108.26,109.4,Ses01M_script03_1_M020,xxx,4,2,2
"Ah so is everyone in the long run, huh?",109.44,112.17,Ses01M_script03_1_M021,hap,4,3,2.5
Hmm.,117.22,119.81,Ses01M_script03_1_M022,hap,4.5,2,1.5
"Let's pity the poor philosophers, huh?  Let's enjoy the party for as long as we can, okay?  Let's blow trumpets and squeakers and sit like small idiotic school children. [LAUGHTER]",121.81,127.49,Ses01M_script03_1_M023,xxx,4,2,2.5
Ah.,129.77,133.26,Ses01M_script03_1_M024,xxx,4,2.5,2.5
"Come here darling, kiss me",139.6316,143.12,Ses01M_script03_1_M025,xxx,4,3,3
"Oh, Elliot.  Worms don't pop.",145.2176,153.2056,Ses01M_script03_1_M026,xxx,3.5,3,3
before your body rots and worms pop out of your eye sockets.,154.52,158.095,Ses01M_script03_1_M027,xxx,4,2,2.5
[LAUGHTER] Ahh...,158.45,172.7567,Ses01M_script03_1_M028,exc,4,3,3
"See, you know I don't care what you do.  You could paint yourself green and run naked to the Place Vendome.",174.5256,177.9,Ses01M_script03_1_M029,exc,4,3,3
"Oh, thank you darling.",177.99,181.61,Ses01M_script03_1_M030,hap,4,3.5,2.5
You could run off with all the men in a world. I won't say a word.  Just as long as you love me best.,189.3,198.21,Ses01M_script03_1_M031,hap,3.5,2.5,2.5
Ahh...,198.25,206.15,Ses01M_script03_1_M032,xxx,4,3,2.5
"The same applies to you too, except you so much as look at another women I'll kill you.",220.43,223.73,Ses01M_script03_1_M033,hap,4,2.5,1.5
Do you remember that row we did have in Venice?,225.51,230.39,Ses01M_script03_1_M034,xxx,3.5,3.5,3
Which particular one?,234.28,236.9,Ses01M_script03_1_M035,xxx,2.5,2.5,3
The one when you put that little wooden painted snake in my bed?,241.9859,245.73,Ses01M_script03_1_M036,xxx,3.5,2,2
"Oh, Charles.  That was his name Charles. He did wriggle so beautifully.",247.86,257.25,Ses01M_script03_1_M037,exc,4,3.5,2.5
It was a horrible thing I hated it.,259.67,262.15,Ses01M_script03_1_M038,xxx,3,3.5,2
"Oh I know you threw it out the window and into the Grand Canal.  Oh, I'll never forgive you for that.",271.55,275.88,Ses01M_script03_1_M039,hap,5,4.5,2.5
Of course how long did that row last?,280.09,282.94,Ses01M_script03_1_M040,hap,5,2.5,2
It went on intermittently for days.,283.31,285.75,Ses01M_script03_1_M041,hap,4,2,2.5
But you know it wasn't as bad as the one we had in Cannes...mmhmm...where your curling irons burnt a hole in my dressing gown.,289.39,296.0399,Ses01M_script03_1_M042,xxx,4,2.5,3
Cannes...mmhmm...,7.2688,16.6,Ses01F_impro02_F000,sad,2.5,2,1.5
Oh it burnt my comb too and all those towels in the bathroom.,19.85,22.78,Ses01F_impro02_F001,sad,2,1.5,1.5
Oh that was a rouser wasn't it?,26.5659,32.2895,Ses01F_impro02_F002,sad,2,1.5,1.5
The manager came in he found us rolling about the floor.  [LAUGHTER],32.3075,37.96,Ses01F_impro02_F003,neu,2,2,2
I will never forget the look on his face.,47.34,53.11,Ses01F_impro02_F004,sad,2.5,2,2.5
Scratching and biting like panthers. [LAUGHTER] Oh...,58.75,61.31,Ses01F_impro02_F005,sad,2,2,2.5
oh...,64.255,68.47,Ses01F_impro02_F006,neu,2.5,2.5,2.5
"Utterly, utterly ridiculous.",72.39,78.57,Ses01F_impro02_F007,xxx,2,3.5,3
oh...[LAUGHTER],87.2031,91.09,Ses01F_impro02_F008,sad,1.5,2,1.5
We were very much younger then.,91.55,95.88,Ses01F_impro02_F009,xxx,1.5,1.5,2
Very much sillier.,97.94,102.19,Ses01F_impro02_F010,sad,2,1.5,2
"However, I do believe the real cause of that row was Peter Burden.",107.68,111.0153,Ses01F_impro02_F011,xxx,2.5,2.5,2.5
Oh you knew there was nothing in that.,117.83,120.8605,Ses01F_impro02_F012,sad,3.5,2,1.5
Did you get the mail? So you saw my letter?,127.82,133.9455,Ses01F_impro02_F013,sad,1.5,2,2
Yeah.,139.03,146.43,Ses01F_impro02_F014,sad,1.5,2,2
It's not fair.,151.4221,155.01,Ses01F_impro02_F015,sad,2,2.5,2.5
Yeah.  I know.,163.54,165.73,Ses01F_impro02_F016,neu,2,1,2.5
"I don't understand.  You've already done so much, I don't know why do you have to go back.",169.36,176.015,Ses01F_impro02_F017,sad,3.5,3,2.5
I don't know.  I put in that. request too. They didn't...,176.08,179.13,Ses01F_impro02_F018,neu,2.5,2.5,2.5
"I guess, you know, everybody has to make sacrifices.",182.83,185.8894,Ses01F_impro02_F019,sad,2.5,1.5,2
"I don't know, it's just not fair.  I think you've already made your sacrifice.",186.58,191.11,Ses01F_impro02_F020,sad,4,2,2.5
"There's people that have given more though, you know?",17.6,20.6264,Ses01F_impro02_M000,xxx,2,2.5,2.5
I just don't see how they can make you leave when you have a new baby - we have a new kid.,21.76,27.5558,Ses01F_impro02_M001,sad,2,2.5,2.5
I know.,38.85,45.09,Ses01F_impro02_M002,xxx,2.5,3,2.5
Then why is that fair?  Why--,52.71,59.0534,Ses01F_impro02_M003,fru,2,3,3
"There's babies over there, though, that need mothers.",61.75,65.055,Ses01F_impro02_M004,xxx,2,3,2
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,69.34,74.29,Ses01F_impro02_M005,sad,2,3,1.5
"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",80.03,86.99,Ses01F_impro02_M006,xxx,2,3,1.5
I'm just trying to think of another way.  I'm just trying to...,103.27,107.1,Ses01F_impro02_M007,xxx,2,3,2.5
"Just, you know, kicking myself.",110.5653,113.2,Ses01F_impro02_M008,fru,2.5,1.5,2
like you sign up because you need money and,114.1775,117.85,Ses01F_impro02_M009,sad,2,1.5,2.5
things just aren't what they seem.,120.4105,124.63,Ses01F_impro02_M010,sad,2,2,1.5
This is a stupid war.,133.88,137.1,Ses01F_impro02_M011,sad,2.5,1.5,2.5
"We're doing the right thing, though.",147.03,151.7101,Ses01F_impro02_M012,neu,2.5,2,2
I know.,157.98,162.71,Ses01F_impro02_M013,sad,1.5,2,2
I just don't see why it has to be you.,164.885,169.5,Ses01F_impro02_M014,sad,1.5,3,1.5
"If not me then, who?",175.47,176.72,Ses01F_impro02_M015,neu,3,3,1.5
What am I going to do? Huh?,195.1047,199.52,Ses01F_impro02_M016,fru,2,1.5,2.5
"You'll videotape everything, yeah?",4.24,5.23,Ses01F_impro05_F000,fru,4,2,1.5
Yeah.,5.26,7.16,Ses01F_impro05_F001,fru,2,2.5,2.5
"Maybe you can send it to me, like stream it, yeah?",7.35,8.85,Ses01F_impro05_F002,fru,2.5,2.5,3.5
Don't you guys have access to computers over there.,9.2,13.02,Ses01F_impro05_F003,fru,2,3,3.5
Last month--  Yeah.,13.04,22.74,Ses01F_impro05_F004,fru,2,3.5,3.5
I just don't know how I'm going to do it without you.,25.35,26.76,Ses01F_impro05_F005,fru,2.5,3,3
I have to find sitters.,28.24,29.91,Ses01F_impro05_F006,xxx,2.5,2.5,2.5
I can't raise a baby by myself.  How?,32.19,33.5,Ses01F_impro05_F007,fru,2.5,3,3.5
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",33.78,35.9,Ses01F_impro05_F008,ang,2.5,2.5,3.5
I know.,36.71,44.03,Ses01F_impro05_F009,ang,2.5,2.5,3.5
And your mother is close by.,69.55,73.76,Ses01F_impro05_F010,xxx,2,4,3.5
I'll send you lots of letters.,73.87,75.5375,Ses01F_impro05_F011,ang,2,4.5,3.5
And I want lots and lots and lots of pictures.,75.61,80.73,Ses01F_impro05_F012,ang,2.5,3.5,3
It's just not fair.,82.75,86.06,Ses01F_impro05_F013,xxx,2,2.5,3
Hi.,99.52,102.9,Ses01F_impro05_F014,ang,1.5,4,4
Hi.  Thanks for waiting.,103.005,118.5,Ses01F_impro05_F015,ang,1.5,4.5,4.5
Yeah. This is the fourth line that I have been in.,118.53,122.44,Ses01F_impro05_F016,ang,1.5,4.5,4
Can I help you?,127.485,136.85,Ses01F_impro05_F017,ang,1.5,5,4.5
Uh huh.,137.715,140.11,Ses01F_impro05_F018,ang,1.5,4,4
I need my bag.,140.225,145.6,Ses01F_impro05_F019,ang,1.5,4,4.5
Okay.,149.365,153.8,Ses01F_impro05_F020,ang,1.5,4.5,4.5
"I flew in over three hours ago, I've been in four different lines.",155.6,160.36,Ses01F_impro05_F021,ang,1.5,4.5,4.5
Okay.,160.41,163.7975,Ses01F_impro05_F022,ang,1.5,4.5,4
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,163.88,165.8,Ses01F_impro05_F023,ang,2,3,4
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,166.33,167.71,Ses01F_impro05_F024,ang,2,3,4
Nash.,171.09,174.2,Ses01F_impro05_F025,ang,1.5,4.5,4.5
Okay.,177.6025,179.09,Ses01F_impro05_F026,ang,2,3.5,3.5
No G.,179.22,183.845,Ses01F_impro05_F027,xxx,2,2.5,4
all right- okay.  And you lost your bag? Is that- that the issue?,188.78,190.8975,Ses01F_impro05_F028,ang,2,3,4
Yes.,195.38,199.33,Ses01F_impro05_F029,ang,1.5,3,3.5
Flight seven fourteen.,202.86,206.17,Ses01F_impro05_F030,ang,2,3,3.5
Uh-huh.,3.61,5.19,Ses01F_impro05_M000,neu,4,2.5,2
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",5.21,6.44,Ses01F_impro05_M001,hap,4,2.5,2
"Yeah. Yeah, I don't see- I don't see any--",6.6,7.71,Ses01F_impro05_M002,hap,4,2.5,2
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",8.32,9.8,Ses01F_impro05_M003,neu,4,2.5,2
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",12.26,13.78,Ses01F_impro05_M004,neu,3.5,1.5,2
"Oh, Are you kidding me?",21.84,25.9,Ses01F_impro05_M005,neu,3.5,2.5,2
"for such an inconvenience and your bag, but",25.99,27.7272,Ses01F_impro05_M006,neu,3.5,2.5,2
